REMUNERACAO_APOS_DEDUCOES_OBRIGATORIAS,count
"8228,77",3
"5325,64",3
"10931,17",3
"3297,16",3
"4792,54",3
"16431,05",3
"10449,40",3
"10514,74",3
"9785,06",3
"4580,49",3
"5371,36",3
"5206,69",3
"2765,82",3
"8602,28",3
"3197,24",3
"5603,68",3
"10451,68",3
"4790,48",3
"4929,59",3
"4168,23",3
"6237,14",3
"4402,64",3
"13720,71",3
"5336,85",3
"8003,56",3
"4448,89",3
"3530,00",3
"4284,74",3
"14514,13",3
"15654,72",3
"9732,92",3
"6384,49",3
"4171,11",3
"10039,41",3
"17421,68",3
"4585,28",3
"19274,38",3
"16357,18",3
"8343,64",3
"13215,50",3
"7599,30",3
"17949,90",3
"18855,41",3
"7841,58",3
"4501,03",3
"5898,83",3
"7731,28",2
"16570,25",2
"18233,84",2
"4406,67",2
"4867,40",2
"7402,43",2
"3846,87",2
"8723,24",2
"18025,36",2
"8037,68",2
"4799,24",2
"18303,88",2
"20466,32",2
"10138,62",2
"6409,19",2
"4052,28",2
"14644,22",2
"3710,27",2
"16475,90",2
"7656,97",2
"4724,92",2
"7947,78",2
"4472,71",2
"15618,89",2
"9849,36",2
"16521,79",2
"7716,54",2
"16466,29",2
"4796,74",2
"18957,04",2
"9665,77",2
"4694,09",2
"18696,29",2
"10792,18",2
"13113,12",2
"3161,80",2
"6657,05",2
"6125,87",2
"8893,31",2
"4119,16",2
"10917,97",2
"5780,14",2
"4597,71",2
"7538,39",2
"5168,39",2
"6840,59",2
"19405,97",2
"14984,87",2
"3999,06",2
"13657,72",2
"4002,75",2
"7450,92",2
"5093,17",2
"8165,35",2
"3974,59",2
"4227,59",2
"10917,94",2
"6309,19",2
"4253,55",2
"5857,74",2
"4350,81",2
"20462,56",2
"6867,34",2
"8203,31",2
"27322,05",2
"14596,48",2
"11712,32",2
"14973,26",2
"10563,79",2
"10509,88",2
"15247,86",2
"7514,45",2
"12286,79",2
"17195,31",2
"8698,29",2
"7951,48",2
"17700,20",2
"13903,66",2
"6353,46",2
"36109,90",2
"4248,08",2
"10897,97",2
"3121,77",2
"13225,20",2
"6669,03",2
"8392,13",2
"11803,13",2
"14439,47",2
"12883,78",2
"5060,69",2
"8585,43",2
"26897,27",2
"7899,35",2
"11297,03",2
"10625,50",2
"5624,62",2
"8621,76",2
"15346,17",2
"5496,19",2
"11754,93",2
"3950,70",2
"14310,34",2
"10371,55",2
"4259,99",2
"8301,22",2
"13484,88",2
"12248,17",2
"10136,39",2
"4837,92",2
"9833,55",2
"6537,21",2
"9007,58",2
"9933,19",2
"17972,27",2
"13406,09",2
"6075,95",2
"11286,06",2
"3582,56",2
"11347,49",2
"3243,46",2
"4987,05",2
"9202,40",2
"5294,99",2
"10988,23",2
"18430,52",2
"5540,65",2
"6002,48",2
"4512,38",2
"3065,65",2
"9273,65",2
"6976,97",2
"9805,47",2
"14971,25",2
"9869,78",2
"6626,19",2
"5389,76",2
"4402,47",2
"15163,03",2
"10840,21",2
"3752,11",2
"17634,84",2
"12725,42",2
"5179,86",2
