REMUNERAÃ.Ã.O.BÃ.SICA.BRUTA..R..,count
"6290,34",2
"5547,38",2
"6067,11",2
"10140,82",2
"6163,54",2
"17576,11",2
"2991,58",2
"29882,64",2
"8003,47",2
"22644,88",2
"4643,36",2
"19698,30",2
"30031,86",2
"26681,30",2
"7946,27",2
"11932,14",2
"14006,02",2
"23576,20",2
"22992,73",2
"9665,95",2
"8557,36",2
"5421,17",2
"6573,63",2
"23411,28",2
"22877,80",2
"16204,38",2
"9282,89",2
"15170,46",2
"8772,39",2
"21413,18",2
"6834,62",2
"4148,68",2
"24490,21",2
"23950,99",2
"23791,03",2
"5068,58",2
"10861,43",2
"15947,08",2
"6000,84",2
"28681,06",2
"21629,90",2
"11448,99",2
"7328,45",2
"6641,05",2
"8144,43",2
"23990,42",2
"20588,79",2
"7226,86",2
"12271,31",2
"16707,36",2
"8236,17",2
"10116,97",2
"4503,62",2
"14295,26",2
"8025,88",2
"9769,01",2
"3797,43",2
"5423,08",2
"5201,01",2
"5517,59",2
"14948,61",2
"13122,28",2
"4891,37",2
"23299,08",2
"7063,40",2
"35543,96",2
"14967,38",2
"37621,44",2
"29788,15",2
"20742,96",2
"6520,41",2
"14667,21",2
"28899,83",2
"9358,43",2
"19159,54",2
"7174,45",2
"6136,28",2
"5681,56",2
"7246,48",2
"5903,16",2
"7184,72",2
"7224,43",2
"6848,93",2
"23969,80",2
"6067,56",2
"6101,00",2
"5208,10",2
"9282,96",2
"6870,62",2
"5991,90",2
"23553,47",2
"28684,13",2
"20013,51",2
"14871,45",2
"35626,00",2
"27763,43",2
"38750,52",2
"30436,07",2
"31675,42",2
"5635,06",2
"5370,97",2
"7218,34",2
"2772,24",2
"5309,35",2
"7658,00",2
"6665,92",2
"7116,03",2
"4977,32",2
"24282,04",2
"8973,58",2
"27072,50",2
"15563,81",2
"9645,01",2
"10770,58",2
"26889,46",2
"4252,77",2
"6586,16",2
"4307,66",2
"22951,71",2
"7748,85",2
"13624,71",2
"5284,35",2
"7768,94",2
"26355,33",2
"19924,85",2
"6751,78",2
"10544,65",2
"11806,54",2
"4711,12",2
"9964,25",2
"28197,10",2
"26993,54",2
"5317,07",2
"27097,63",2
"4917,73",2
"5261,62",2
"11649,07",2
"15161,81",2
"19340,57",2
"6262,58",2
"12455,86",2
"17061,63",2
"12377,62",2
"10354,53",2
"23834,86",2
"26853,25",2
"12453,14",2
"10821,66",2
"5194,85",2
"5825,30",2
"3532,09",2
"4952,36",2
"17869,07",2
"10229,62",2
"23878,19",2
"7434,66",2
"11239,96",2
"9920,05",2
"12775,09",2
"18999,82",2
"12269,51",2
"6997,93",2
"23008,10",2
"4458,42",2
"5603,22",2
"6062,30",2
"17198,33",2
"9875,73",2
"8018,81",2
"10818,07",2
"7593,97",2
"7516,18",2
"6138,65",2
"6009,72",2
"11451,74",2
"4388,77",2
"3398,41",2
"5661,23",2
"3225,27",2
"4802,78",2
"18645,06",2
"5126,75",2
"5784,25",2
"4793,21",2
"31716,11",2
"6686,99",2
"8756,42",2
"4950,51",2
"14330,65",2
"4261,33",2
"11942,76",2
"18756,18",2
"8815,37",2
"7479,59",2
"4047,29",2
"22107,14",2
"7780,08",2
"24563,44",2
"34081,25",2
"6319,46",2
"6470,14",2
"7700,19",2
"10012,13",2
"5734,93",2
"6498,62",2
"4746,34",2
"28785,14",2
"10094,06",2
"4632,41",2
"4060,05",2
"6206,82",2
"4798,65",2
"10644,46",2
"6414,02",2
"27080,92",2
"37733,57",2
"5663,34",2
"4196,13",2
"21879,78",2
"18505,77",2
"3845,31",2
"7338,86",2
"9087,37",2
"6221,18",2
"27308,87",2
"14961,43",2
"22352,88",2
"7969,26",2
"4337,78",2
"4547,20",2
"28916,24",2
"10901,58",2
"23680,28",2
"5064,08",2
"23535,90",2
"22479,04",2
"22614,25",2
"12851,38",2
"5136,87",2
"4706,48",2
"13253,16",2
"3822,33",2
"12607,00",2
"10412,00",2
"10087,05",2
"20903,43",2
"11405,44",2
"23998,13",2
"4207,85",2
"4604,40",2
"8931,07",2
"28736,39",2
"12188,24",2
"12682,71",2
"8259,96",2
"24147,12",2
"6627,33",2
"21688,62",2
"4351,54",2
"6141,81",2
"26684,58",2
"8057,28",2
"23760,43",2
"10490,63",2
"14911,92",2
"4436,42",2
"14176,60",2
"36271,43",2
"30766,15",2
"4301,33",2
"4616,78",2
"6550,92",2
"23730,79",2
"28889,22",2
"6455,42",2
"22447,50",2
"24368,27",2
"15937,71",2
"7938,97",2
"16346,84",2
"14148,60",2
"14535,43",2
"13972,44",2
"8386,73",2
"6725,71",2
"7452,27",2
"36388,66",2
"6639,34",2
"4812,20",2
"7744,09",2
"7729,25",2
"5798,74",2
"8900,18",2
"26599,40",2
"22803,49",2
"7460,56",2
"9246,59",2
"12133,80",2
"4346,71",2
"22867,53",2
"10586,26",2
"19400,85",2
"21194,95",2
"7764,00",2
"4376,52",2
"27709,72",2
"6338,95",2
"11861,65",2
"8173,49",2
"18169,30",2
"6487,78",2
"16885,68",2
"29744,07",2
"5444,15",2
"25055,84",2
"2044,85",2
"4875,18",2
"5184,06",2
"26782,29",2
"4713,20",2
"9232,54",2
"24381,41",2
"23603,00",2
"4806,38",2
"15091,72",2
"8638,73",2
"15622,05",2
"7426,38",2
"8625,19",2
"26049,25",2
"23307,44",2
"10321,25",2
"5617,52",2
"18389,39",2
"33842,05",2
"13027,51",2
"5388,47",2
"13881,71",2
"8227,03",2
"7695,24",2
"3351,76",2
"5560,15",2
"7707,80",2
"18055,30",2
"5424,28",2
"8602,96",2
"10374,95",2
"6300,50",2
"12538,51",2
"14965,02",2
"16877,32",2
"25434,23",2
"31755,56",2
"19088,25",2
"9691,59",2
"8450,48",2
"25166,22",2
"3589,89",2
"27854,15",2
"6194,82",2
"11677,66",2
"28088,20",2
"4774,22",2
"21668,05",2
"11892,82",2
"3229,47",2
"17312,79",2
"1260,37",2
"8885,11",2
"13861,17",2
"10870,13",2
"5727,93",1
"18755,03",1
"6350,78",1
"6157,82",1
"20051,22",1
"9377,88",1
"3000,00",1
"6395,20",1
"31547,88",1
"1313,85",1
"11248,85",1
"3693,58",1
"24135,73",1
"15425,55",1
"5199,01",1
"9965,07",1
"10365,57",1
"5728,91",1
"9708,54",1
"5306,83",1
"9070,08",1
"5897,33",1
"1942,65",1
"3338,09",1
"13274,85",1
"7678,42",1
"3791,62",1
"5614,24",1
"10899,76",1
"8245,44",1
"16389,09",1
"38062,77",1
"3289,44",1
"12356,63",1
"4581,79",1
"15205,79",1
"4650,42",1
"16453,81",1
"9293,34",1
"12676,24",1
"35993,70",1
"1184,88",1
"20656,59",1
"3399,12",1
"5341,19",1
"10120,18",1
"25449,68",1
"9824,38",1
"16413,35",1
"4010,30",1
"26721,29",1
"4831,79",1
"24200,69",1
"25086,93",1
"6198,31",1
"4357,85",1
"5850,43",1
"3510,60",1
"5470,51",1
"2734,15",1
"15428,46",1
"11057,42",1
"5405,06",1
"15968,51",1
"3478,85",1
"25708,35",1
"3582,01",1
"16609,59",1
"7234,05",1
"5179,62",1
"3887,03",1
"4924,15",1
"4886,80",1
"3402,30",1
"5210,65",1
"13181,19",1
"5997,32",1
"10230,43",1
"16542,47",1
"5894,24",1
"3664,21",1
"13600,98",1
"17730,66",1
"7443,06",1
"4556,91",1
"6391,62",1
"8599,16",1
"14829,60",1
"2980,76",1
"6262,14",1
"7164,76",1
"5271,04",1
"26020,59",1
"25776,98",1
"6247,42",1
"11755,63",1
"20103,99",1
"9646,49",1
"169,44",1
"5047,00",1
"4483,08",1
"8636,00",1
"10021,15",1
"10461,63",1
"5231,73",1
"27988,62",1
"8051,27",1
"4564,75",1
"4418,06",1
"592,39",1
"5622,26",1
"14337,01",1
"9134,01",1
"24073,08",1
"5922,40",1
"22847,62",1
"14947,75",1
"5760,13",1
"12872,42",1
"9468,51",1
"3120,28",1
"4174,96",1
"3647,89",1
"4280,06",1
"13097,81",1
"9629,14",1
"9673,03",1
"7946,88",1
"4553,85",1
"6513,56",1
"3088,38",1
"1244,69",1
"3823,14",1
"34149,97",1
"24875,69",1
"21744,47",1
"6141,25",1
"19079,43",1
"15105,41",1
"2944,59",1
"4779,66",1
"5487,60",1
"17148,00",1
"4419,51",1
"8395,59",1
"22648,55",1
"30738,21",1
"5972,32",1
"13625,47",1
"5695,99",1
"9014,48",1
"5871,98",1
"6680,78",1
"5478,93",1
"7387,17",1
"13594,65",1
"3189,84",1
"1511,41",1
"7697,08",1
"4723,49",1
"3400,01",1
"24825,19",1
"19346,94",1
"6926,03",1
"6324,28",1
"11847,99",1
"13758,66",1
"18253,42",1
"26440,01",1
"3335,45",1
"4824,46",1
"5753,18",1
"12671,71",1
"13700,25",1
"5634,19",1
"3253,59",1
"6638,09",1
"12348,53",1
"22341,24",1
"4484,39",1
