DATA_INGRESSO_CARGOFUNCAO,count
30/06/2000,2
25/07/2022,2
20/05/2014,2
05/05/2022,2
17/03/2023,2
06/01/2023,2
29/12/2020,2
13/09/2023,2
25/04/2019,2
23/05/2013,2
28/01/2016,2
03/07/2018,2
21/09/2011,2
11/11/2021,2
21/06/2013,2
02/08/2022,2
17/08/2016,2
27/02/2014,2
12/01/2021,2
29/07/2022,2
03/05/2018,2
06/01/2016,2
10/03/2023,2
23/09/2022,2
22/10/2008,2
27/05/2013,2
04/08/2017,2
12/05/2008,2
29/04/2015,2
03/10/2019,2
10/04/2023,2
13/12/2022,2
06/02/2012,2
29/10/2018,2
22/12/2023,2
02/01/2014,2
26/12/2008,2
25/10/2022,2
31/07/2018,2
15/05/2023,2
09/02/2023,2
15/07/2014,2
08/10/2012,2
16/12/2014,2
10/09/2013,2
26/09/2023,2
04/11/2022,2
02/10/2014,2
24/05/2010,2
15/01/2024,2
27/06/2023,2
29/11/2016,2
25/06/2012,2
05/09/2022,2
12/04/2024,2
06/02/2017,2
31/01/2020,2
26/02/1997,2
04/04/2022,2
02/03/2011,2
15/03/2011,2
01/10/2018,2
13/04/2022,2
21/12/2022,2
27/03/2014,2
17/09/2013,2
09/09/2011,2
12/05/2023,2
09/02/2015,2
16/12/2016,2
01/04/2016,2
19/11/2014,2
15/08/2023,2
13/03/2014,2
22/05/2012,2
20/03/2006,2
22/03/2024,2
29/01/2018,2
24/07/2023,2
11/09/2021,2
29/04/2024,2
25/01/2010,2
28/07/2017,2
25/05/2018,2
24/01/2014,2
08/09/2011,2
27/12/2016,2
09/10/2015,2
16/03/2010,2
18/12/2017,2
01/07/2010,2
17/07/2023,2
09/07/2018,2
28/09/2010,2
01/06/2022,2
16/02/2016,2
21/11/2011,2
04/04/2023,2
13/05/2013,2
15/07/2015,2
28/11/2011,2
10/04/2017,2
28/08/2017,2
15/07/2022,2
09/09/1994,2
14/10/2010,2
11/04/2018,2
23/09/2011,2
30/10/2013,2
24/05/2012,2
16/04/2014,2
01/05/2002,2
30/03/2009,2
22/12/2022,2
23/08/2019,2
31/07/2023,2
27/03/1998,2
26/04/2017,2
29/01/2024,2
09/03/2012,2
07/06/2013,2
30/04/2014,2
23/08/1993,2
24/09/2012,2
23/04/2012,2
24/09/2010,2
15/09/2015,2
11/08/2014,2
04/02/2014,2
08/03/2018,2
26/12/2019,2
26/07/2013,2
05/10/2011,2
02/06/2020,2
18/10/2016,2
04/06/2013,2
17/10/2002,2
07/08/2015,2
25/07/2018,2
29/10/2009,2
10/05/2013,2
14/07/2022,2
26/05/2014,2
23/05/2023,2
14/10/2008,2
02/07/2009,2
01/12/2011,2
03/08/2018,2
08/08/2023,2
20/02/2014,2
13/06/2011,2
26/02/2010,2
14/10/2019,2
15/03/2010,2
21/07/2021,2
24/02/2021,2
24/12/2019,2
28/02/2023,2
08/01/2014,2
21/09/2015,2
08/11/2010,2
07/06/2023,2
08/07/2015,2
01/04/2015,2
17/02/2004,2
19/10/2022,2
05/01/2012,2
07/04/2015,2
08/10/2004,2
27/01/2021,2
01/04/2023,2
31/03/2014,2
11/08/2021,2
29/08/2016,2
08/02/2023,2
10/08/2015,2
15/12/2022,2
08/09/2022,2
17/04/2023,2
22/06/2023,2
28/04/2008,2
01/01/2023,2
29/09/2010,2
22/07/2013,2
10/06/2013,2
10/07/2023,2
02/07/2014,2
20/06/2012,2
23/07/2012,2
04/02/2010,2
11/10/2018,2
26/07/2010,2
12/09/2014,2
23/01/2014,2
25/08/2011,2
18/08/2023,2
16/01/2020,2
11/11/2014,2
29/01/1990,2
18/01/2021,2
13/07/2009,2
07/05/2015,2
21/10/2002,2
01/09/2010,2
29/09/2015,2
20/05/2024,2
21/08/2014,2
13/05/2024,2
24/10/2014,2
15/08/2019,2
18/11/2015,2
10/06/1997,2
23/02/2004,1
25/11/2015,1
31/07/2019,1
31/07/2014,1
